item_no,sku,qty,description,product_family,product_type,product_dimension,ports,port_speed,poe_type,stacking,management,switch_layer,power_consumption,flash_memory,buffer_memory,throughput,latency,management_interface,network_interface,performance_tier,service_category,list_price_usd,street_price_usd,partner_price_usd,warranty_period,support_type,processor,operating_temp,storage_temp,humidity,compliance,package_contents,width,depth,height,weight_kg,availability,end_of_sale,orderability,duration,item_identifier,service_program,sheet,workbook,family,commercial_name,product_line,dimension,subscription_type,offer_type,product_name,wifi_standard,indoor_outdoor,antenna,radios,max_throughput,poe,controller_compat,eol_status,release_year
451,FED-MS355-24X-3Y,1,"Meraki FedRAMP MS355-24X ENT License and Support, 3YR",Switches,Meraki MS License,License,24,10G,,Yes,Cloud Managed,L3,410,512MB,4MB,100Gbps,2.0μs,"Console, USB, Network",24 x 10G Ethernet,Performance,CORE,6375.24,5516.494821519289,4987.43539507765,Lifetime,4HR,ARM 1.2GHz,0 to 40°C,-40 to 85°C,5% to 95%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",19.18,37.89,2.93,8.77,In Stock,EoS,ICW-ONLY,120,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-24X ENT License and Support, 3YR",,License,,,,,,,,,,,,
452,FED-MS355-24X-5Y,1,"Meraki FedRAMP MS355-24X ENT License and Support, 5YR",Switches,Meraki MS License,License,24,10G,,Yes,Cloud Managed,L3,1046,512MB,1MB,200Gbps,1.5μs,"Console, USB, Network",24 x 10G Ethernet,Performance,CORE,3441.0,3152.4950957327,2663.076101672218,Lifetime,Next Day,ARM 1.2GHz,-5 to 45°C,-40 to 70°C,5% to 95%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",34.66,35.64,4.26,10.28,In Stock,EoS,ICW-ONLY,36,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-24X ENT License and Support, 5YR",,License,,,,,,,,,,,,
453,FED-MS355-24X-7Y,1,"Meraki FedRAMP MS355-24X ENT License and Support, 7YR",Switches,Meraki MS License,License,24,10G,,Yes,Cloud Managed,L3,211,256MB,2MB,400Gbps,3.0μs,"Console, USB, Network",24 x 10G Ethernet,Essential,CORE,4651.22,4116.218557966455,3864.871448813171,5 Years,NBD,x86 1.8GHz,0 to 40°C,-40 to 85°C,5% to 95%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",27.41,28.04,3.12,5.03,In Stock,EoS,ICW-ONLY,120,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-24X ENT License and Support, 7YR",,License,,,,,,,,,,,,
455,FED-MS355-24X2-10Y,1,"Meraki FedRAMP MS355-24X2 ENT License and Support, 10YR",Switches,Meraki MS License,License,24,10G,,Yes,Cloud Managed,L3,988,128MB,4MB,400Gbps,1.5μs,"Console, USB, Network",24 x 10G Ethernet,Essential,CORE,691.41,605.8616511865253,539.9376512809762,5 Years,NBD,x86 1.8GHz,0 to 40°C,-40 to 85°C,5% to 95%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Quick Start Guide",42.87,36.04,4.4,8.41,Limited Stock,Active,ICW-ONLY,36,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-24X2 ENT License and Support, 10YR",,License,,,,,,,,,,,,
1282,FED-MS355-24X2-1D,1,"Meraki FedRAMP MS355-24X2 ENT License and Support,1Day",Switches,MS License,License,24,10G,,No,Cloud Managed,L3,449,512MB,2MB,50Gbps,2.0μs,"Console, Network",24 x 10G Ethernet,Performance,CORE,5231.25,4551.03723754771,3876.364569380963,3 Years,Next Day,x86 1.0GHz,0 to 50°C,-40 to 70°C,5% to 95%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Quick Start Guide",18.71,22.05,1.98,9.2,Limited Stock,EoL,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-24X2 ENT License and Support,1Day",,License,,,,,,,,,,,,
1278,FED-MS355-24X2-1Y,1,"Meraki FedRAMP MS355-24X2 ENT License and Support, 1YR",Switches,MS License,License,24,10G,,Yes,Cloud Managed,L3,1077,128MB,2MB,200Gbps,3.0μs,"Console, USB, Network",24 x 10G Ethernet,Essential,CORE,1643.73,1405.289402156758,1167.248941411381,3 Years,Next Day,x86 1.0GHz,0 to 50°C,-40 to 70°C,10% to 90%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",23.99,20.48,3.4,4.72,Limited Stock,EoL,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-24X2 ENT License and Support, 1YR",,License,,,,,,,,,,,,
457,FED-MS355-24X2-3Y,1,"Meraki FedRAMP MS355-24X2 ENT License and Support, 3YR",Switches,Meraki MS License,License,24,10G,,Yes,Cloud Managed,L3,470,64MB,4MB,50Gbps,2.5μs,"USB, Network",24 x 10G Ethernet,Performance,CORE,774.7,683.0694259720982,585.7879161157255,3 Years,NBD,x86 1.8GHz,0 to 50°C,-40 to 85°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",27.25,25.24,4.9,11.2,In Stock,Active,ICW-ONLY,12,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-24X2 ENT License and Support, 3YR",,License,,,,,,,,,,,,
1280,FED-MS355-24X2-5Y,1,"Meraki FedRAMP MS355-24X2 ENT License and Support, 5YR",Switches,MS License,License,24,10G,,No,Cloud Managed,L3,493,64MB,1MB,100Gbps,2.0μs,"Console, USB, Network",24 x 10G Ethernet,Essential,CORE,1814.33,1623.080284391274,1508.981327526533,1 Year,NBD,ARM 1.2GHz,0 to 40°C,-40 to 70°C,10% to 90%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",29.58,34.22,1.21,6.87,In Stock,Active,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-24X2 ENT License and Support, 5YR",,License,,,,,,,,,,,,
1281,FED-MS355-24X2-7Y,1,"Meraki FedRAMP MS355-24X2 ENT License and Support, 7YR",Switches,MS License,License,24,10G,,No,Cloud Managed,L3,169,256MB,8MB,50Gbps,2.0μs,"Console, Network",24 x 10G Ethernet,Essential,CORE,1460.09,1257.962573732337,1164.535512932526,5 Years,Next Day,x86 1.8GHz,0 to 50°C,-40 to 70°C,10% to 90%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Quick Start Guide",43.74,31.91,4.03,10.97,Out of Stock,EoS,ICW-ONLY,120,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-24X2 ENT License and Support, 7YR",,License,,,,,,,,,,,,
461,FED-MS355-48X-10Y,1,"Meraki FedRAMP MS355-48X ENT License and Support, 10YR",Switches,Meraki MS License,License,48,10G,,No,Cloud Managed,L3,541,64MB,1MB,100Gbps,1.5μs,"Console, Network",48 x 10G Ethernet,Essential,CORE,3808.28,3440.665684639539,3232.703987318709,Lifetime,4HR,ARM 1.5GHz,0 to 40°C,-40 to 85°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",36.14,32.04,2.16,4.33,In Stock,Active,ICW-ONLY,120,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-48X ENT License and Support, 10YR",,License,,,,,,,,,,,,
466,FED-MS355-48X-1D,1,"Meraki FedRAMP MS355-48X ENT License and Support,1Day",Switches,Meraki MS License,License,48,10G,,Yes,Cloud Managed,L3,1120,512MB,8MB,100Gbps,1.5μs,"USB, Network",48 x 10G Ethernet,Essential,CORE,6576.94,5754.220687336515,4697.031182389634,5 Years,NBD,ARM 1.2GHz,-5 to 45°C,-40 to 85°C,5% to 95%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supplies (2), Quick Start Guide",43.44,24.99,4.62,13.13,In Stock,EoL,ICW-ONLY,36,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-48X ENT License and Support,1Day",,License,,,,,,,,,,,,
1284,FED-MS355-48X-1Y,1,"Meraki FedRAMP MS355-48X ENT License and Support, 1YR",Switches,MS License,License,48,10G,,Yes,Cloud Managed,L3,763,128MB,2MB,100Gbps,1.5μs,"Console, Network",48 x 10G Ethernet,Premium,CORE,4967.33,4615.620933601027,3794.213828584778,Lifetime,24HR,x86 1.8GHz,-5 to 45°C,-40 to 70°C,5% to 95%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Quick Start Guide",19.89,35.4,3.34,9.83,In Stock,Active,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-48X ENT License and Support, 1YR",,License,,,,,,,,,,,,
463,FED-MS355-48X-3Y,1,"Meraki FedRAMP MS355-48X ENT License and Support, 3YR",Switches,Meraki MS License,License,48,10G,,Yes,Cloud Managed,L3,1050,256MB,4MB,100Gbps,3.0μs,"Console, USB, Network",48 x 10G Ethernet,Performance,CORE,884.08,763.4155361809054,746.9908523079977,1 Year,4HR,x86 1.8GHz,-5 to 45°C,-40 to 70°C,10% to 90%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",30.91,25.6,2.55,11.93,In Stock,EoL,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-48X ENT License and Support, 3YR",,License,,,,,,,,,,,,
464,FED-MS355-48X-5Y,1,"Meraki FedRAMP MS355-48X ENT License and Support, 5YR",Switches,Meraki MS License,License,48,10G,,Yes,Cloud Managed,L3,304,128MB,4MB,100Gbps,2.0μs,"USB, Network",48 x 10G Ethernet,Premium,CORE,4104.32,3792.726389926526,2976.692544586847,1 Year,Next Day,x86 1.8GHz,-5 to 45°C,-40 to 70°C,5% to 95%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",15.12,21.5,2.44,9.49,Out of Stock,Active,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-48X ENT License and Support, 5YR",,License,,,,,,,,,,,,
465,FED-MS355-48X-7Y,1,"Meraki FedRAMP MS355-48X ENT License and Support, 7YR",Switches,Meraki MS License,License,48,10G,,Yes,Cloud Managed,L3,656,64MB,8MB,200Gbps,2.5μs,"Console, USB, Network",48 x 10G Ethernet,Premium,CORE,2044.13,1741.967132976164,1460.565382730147,5 Years,NBD,x86 1.8GHz,0 to 40°C,-40 to 70°C,5% to 95%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",17.52,36.67,4.8,2.07,In Stock,EoL,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-48X ENT License and Support, 7YR",,License,,,,,,,,,,,,
467,FED-MS355-48X2-10Y,1,"Meraki FedRAMP MS355-48X2 ENT License and Support, 10YR",Switches,Meraki MS License,License,48,10G,,Yes,Cloud Managed,L3,717,256MB,2MB,400Gbps,3.0μs,"Console, Network",48 x 10G Ethernet,Performance,CORE,185.65,168.089410597992,139.1815941005227,1 Year,4HR,ARM 1.2GHz,-5 to 45°C,-40 to 85°C,10% to 90%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supplies (2), Quick Start Guide",41.49,23.49,2.66,14.28,Limited Stock,EoL,ICW-ONLY,36,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-48X2 ENT License and Support, 10YR",,License,,,,,,,,,,,,
472,FED-MS355-48X2-1D,1,"Meraki FedRAMP MS355-48X2 ENT License and Support,1Day",Switches,Meraki MS License,License,48,10G,,No,Cloud Managed,L3,1173,64MB,4MB,50Gbps,2.0μs,"USB, Network",48 x 10G Ethernet,Essential,CORE,10962.23,9987.343677841596,8070.582670896637,3 Years,4HR,x86 1.0GHz,-5 to 45°C,-40 to 85°C,10% to 90%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",26.88,34.4,4.81,13.79,Out of Stock,EoS,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-48X2 ENT License and Support,1Day",,License,,,,,,,,,,,,
1289,FED-MS355-48X2-1Y,1,"Meraki FedRAMP MS355-48X2 ENT License and Support, 1YR",Switches,MS License,License,48,10G,,No,Cloud Managed,L3,998,128MB,1MB,200Gbps,3.0μs,"Console, USB, Network",48 x 10G Ethernet,Premium,CORE,1039.63,914.9851939510289,827.1956618194862,3 Years,NBD,ARM 1.2GHz,0 to 50°C,-40 to 70°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",16.89,26.98,4,13.85,Out of Stock,EoL,ICW-ONLY,12,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-48X2 ENT License and Support, 1YR",,License,,,,,,,,,,,,
1290,FED-MS355-48X2-3Y,1,"Meraki FedRAMP MS355-48X2 ENT License and Support, 3YR",Switches,MS License,License,48,10G,,No,Cloud Managed,L3,199,256MB,4MB,400Gbps,2.0μs,"Console, USB, Network",48 x 10G Ethernet,Premium,CORE,3898.6,3662.378793011084,3058.153018450349,5 Years,4HR,ARM 1.2GHz,0 to 40°C,-40 to 85°C,5% to 95%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",29.29,24.71,2.15,14.92,In Stock,EoL,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-48X2 ENT License and Support, 3YR",,License,,,,,,,,,,,,
470,FED-MS355-48X2-5Y,1,"Meraki FedRAMP MS355-48X2 ENT License and Support, 5YR",Switches,Meraki MS License,License,48,10G,,Yes,Cloud Managed,L3,1055,256MB,4MB,400Gbps,2.0μs,"Console, USB, Network",48 x 10G Ethernet,Premium,CORE,1731.04,1571.675678289211,1232.476451192735,Lifetime,4HR,ARM 1.2GHz,-5 to 45°C,-40 to 70°C,5% to 95%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",35.18,33.54,2.46,13.77,In Stock,EoL,ICW-ONLY,120,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-48X2 ENT License and Support, 5YR",,License,,,,,,,,,,,,
1292,FED-MS355-48X2-7Y,1,"Meraki FedRAMP MS355-48X2 ENT License and Support, 7YR",Switches,MS License,License,48,10G,,No,Cloud Managed,L3,373,512MB,2MB,400Gbps,1.5μs,"Console, Network",48 x 10G Ethernet,Premium,CORE,1301.54,1179.886645219958,921.9834309396455,Lifetime,Next Day,x86 1.8GHz,0 to 40°C,-40 to 85°C,5% to 95%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",30.27,30.63,3.75,5.9,Limited Stock,Active,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS355-48X2 ENT License and Support, 7YR",,License,,,,,,,,,,,,
1294,FED-MS450-12-10Y,1,"Meraki FedRAMP MS450 12-port ENT License and Support, 10YR",Switches,MS License,License,12,Multi-Gig,,Yes,Cloud Managed,L2,1047,512MB,1MB,400Gbps,1.5μs,"Console, USB, Network",12 x Multi-Gig Ethernet,Premium,CORE,1106.86,973.3066933181168,823.5060871137749,1 Year,NBD,x86 1.8GHz,0 to 40°C,-40 to 85°C,5% to 95%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",17.25,22.77,2.89,14.41,Limited Stock,EoL,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS450 12-port ENT License and Support, 10YR",,License,,,,,,,,,,,,
474,FED-MS450-12-1D,1,"Meraki FedRAMP MS450 12-port ENT License and Support, 1Day",Switches,Meraki MS License,License,12,Multi-Gig,,Yes,Cloud Managed,L3,630,256MB,1MB,200Gbps,2.0μs,"Console, Network",12 x Multi-Gig Ethernet,Premium,CORE,5934.7,5222.753840697655,4444.593132026179,Lifetime,Next Day,ARM 1.5GHz,-5 to 45°C,-40 to 85°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",34.66,27.3,3.98,13.42,Out of Stock,EoS,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS450 12-port ENT License and Support, 1Day",,License,,,,,,,,,,,,
475,FED-MS450-12-1Y,1,"Meraki FedRAMP MS450 12-port ENT License and Support, 1YR",Switches,Meraki MS License,License,12,1G,,No,Cloud Managed,L3,297,256MB,1MB,50Gbps,2.0μs,"Console, USB, Network",12 x 1G Ethernet,Essential,CORE,1505.25,1357.210822227999,1097.778973300602,1 Year,24HR,x86 1.8GHz,0 to 40°C,-40 to 70°C,5% to 95%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supplies (2), Quick Start Guide",25.49,38.01,2.69,5.2,In Stock,EoS,ICW-ONLY,120,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS450 12-port ENT License and Support, 1YR",,License,,,,,,,,,,,,
1297,FED-MS450-12-3Y,1,"Meraki FedRAMP MS450 12-port ENT License and Support, 3YR",Switches,MS License,License,12,Multi-Gig,,No,Cloud Managed,L2,861,512MB,4MB,200Gbps,2.0μs,"USB, Network",12 x Multi-Gig Ethernet,Essential,CORE,2239.81,2102.533919580783,1576.882622502908,1 Year,4HR,x86 1.0GHz,0 to 50°C,-40 to 85°C,5% to 95%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",16.34,38.2,2.93,14.43,Out of Stock,EoS,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS450 12-port ENT License and Support, 3YR",,License,,,,,,,,,,,,
477,FED-MS450-12-5Y,1,"Meraki FedRAMP MS450 12-port ENT License and Support, 5YR",Switches,Meraki MS License,License,12,1G,,Yes,Cloud Managed,L3,52,256MB,2MB,400Gbps,1.5μs,"Console, Network",12 x 1G Ethernet,Premium,CORE,2931.22,2514.813770685319,2437.475631949944,3 Years,NBD,x86 1.8GHz,0 to 40°C,-40 to 85°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",38.21,34.78,1.1,10.82,In Stock,Active,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS450 12-port ENT License and Support, 5YR",,License,,,,,,,,,,,,
1299,FED-MS450-12-7Y,1,"Meraki FedRAMP MS450 12-port ENT License and Support, 7YR",Switches,MS License,License,12,10G,,No,Cloud Managed,L3,191,128MB,8MB,100Gbps,3.0μs,"Console, Network",12 x 10G Ethernet,Performance,CORE,776.71,698.036623902575,600.8426218846696,Lifetime,Next Day,ARM 1.5GHz,0 to 40°C,-40 to 70°C,5% to 95%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",40.02,39.27,2.99,2.13,In Stock,Active,ICW-ONLY,36,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRAMP MS450 12-port ENT License and Support, 7YR",,License,,,,,,,,,,,,
1127,LIC-C9200L-24A-1Y,1,"Meraki Advantage License for C9200L 24-Port, 1 year",Switches,MS License,License,24,1G,,Yes,Cloud Managed,L2,71,64MB,4MB,400Gbps,1.5μs,"Console, USB, Network",24 x 1G Ethernet,Essential,CORE,9039.53,7868.811913618774,7089.021073509336,Lifetime,Next Day,ARM 1.2GHz,-5 to 45°C,-40 to 70°C,5% to 95%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",40.6,38.27,1.69,10.94,Limited Stock,Active,ICW-ONLY,120,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki Advantage License for C9200L 24-Port, 1 year",,License,,,,,,,,,,,,
305,LIC-C9200L-24A-3Y,1,"Meraki Advantage License for C9200L 24-Port, 3 year",Switches,Meraki MS License,License,24,1G,,Yes,On-Prem,L3,700,64MB,1MB,100Gbps,2.5μs,"Console, Network",24 x 1G Ethernet,Premium,CORE,585.04,553.118660228312,486.2230452853368,3 Years,4HR,x86 1.8GHz,0 to 40°C,-40 to 85°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",41.32,29.44,1.42,4.73,Limited Stock,Active,ICW-ONLY,36,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki Advantage License for C9200L 24-Port, 3 year",,License,,,,,,,,,,,,
306,LIC-C9200L-24A-5Y,1,"Meraki Advantage License for C9200L 24-Port, 5 year",Switches,Meraki MS License,License,24,1G,,Yes,On-Prem,L2,424,256MB,1MB,100Gbps,2.5μs,"Console, Network",24 x 1G Ethernet,Essential,CORE,1324.62,1206.07885515239,1043.846167516211,1 Year,4HR,x86 1.0GHz,0 to 40°C,-40 to 85°C,5% to 95%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",42.05,34.83,2.76,2.21,Out of Stock,EoL,ICW-ONLY,12,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki Advantage License for C9200L 24-Port, 5 year",,License,,,,,,,,,,,,
1143,LIC-C9200L-24E-1Y,1,"Meraki Essentials License for C9200L 24-Port, 1 year",Switches,MS License,License,24,10G,,No,Controller,L3,236,128MB,8MB,100Gbps,3.0μs,"USB, Network",24 x 10G Ethernet,Performance,CORE,2344.18,2191.054589515676,1770.63638876061,Lifetime,Next Day,ARM 1.5GHz,-5 to 45°C,-40 to 85°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",44.92,39.06,4.64,5.22,Out of Stock,EoL,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki Essentials License for C9200L 24-Port, 1 year",,License,,,,,,,,,,,,
1144,LIC-C9200L-24E-3Y,1,"Meraki Essentials License for C9200L 24-Port, 3 year",Switches,MS License,License,24,Multi-Gig,,Yes,On-Prem,L3,408,128MB,4MB,400Gbps,2.0μs,"Console, USB, Network",24 x Multi-Gig Ethernet,Performance,CORE,7474.07,6909.030577315662,5852.070788758587,1 Year,NBD,x86 1.0GHz,-5 to 45°C,-40 to 85°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",16.53,36.13,2.35,7.06,Limited Stock,EoL,ICW-ONLY,120,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki Essentials License for C9200L 24-Port, 3 year",,License,,,,,,,,,,,,
1145,LIC-C9200L-24E-5Y,1,"Meraki Essentials License for C9200L 24-Port, 5 year",Switches,MS License,License,24,1G,,No,Controller,L3,823,128MB,4MB,200Gbps,2.0μs,"Console, USB, Network",24 x 1G Ethernet,Performance,CORE,6954.26,6290.10268574566,5406.851536652181,3 Years,4HR,x86 1.8GHz,-5 to 45°C,-40 to 85°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",40.06,23.29,1.16,10.89,Limited Stock,EoS,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki Essentials License for C9200L 24-Port, 5 year",,License,,,,,,,,,,,,
1130,LIC-C9200L-48A-1Y,1,"Meraki Advantage License for C9200L 48-Port, 1 year",Switches,MS License,License,48,10G,,Yes,On-Prem,L2,470,256MB,2MB,50Gbps,3.0μs,"Console, Network",48 x 10G Ethernet,Premium,CORE,7438.95,6969.402383982394,5686.531496437001,5 Years,NBD,ARM 1.2GHz,0 to 50°C,-40 to 85°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",37.98,24.84,3.39,13.46,Limited Stock,EoS,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki Advantage License for C9200L 48-Port, 1 year",,License,,,,,,,,,,,,
308,LIC-C9200L-48A-3Y,1,"Meraki Advantage License for C9200L 48-Port, 3 year",Switches,Meraki MS License,License,48,10G,,No,On-Prem,L3,271,512MB,4MB,400Gbps,1.5μs,"USB, Network",48 x 10G Ethernet,Performance,CORE,2303.03,2121.646056675128,1658.688913438109,3 Years,Next Day,ARM 1.2GHz,0 to 40°C,-40 to 85°C,10% to 90%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",19.76,37.82,4.02,14.1,Limited Stock,EoL,ICW-ONLY,120,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki Advantage License for C9200L 48-Port, 3 year",,License,,,,,,,,,,,,
1132,LIC-C9200L-48A-5Y,1,"Meraki Advantage License for C9200L 48-Port, 5 year",Switches,MS License,License,48,Multi-Gig,,No,Controller,L2,296,512MB,2MB,100Gbps,2.0μs,"USB, Network",48 x Multi-Gig Ethernet,Performance,CORE,2666.3,2357.802268007036,2041.749990948915,5 Years,4HR,ARM 1.2GHz,0 to 40°C,-40 to 70°C,5% to 95%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",17.03,38.33,3.99,11.98,In Stock,Active,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki Advantage License for C9200L 48-Port, 5 year",,License,,,,,,,,,,,,
1146,LIC-C9200L-48E-1Y,1,"Meraki Essentials License for C9200L 48-Port, 1 year",Switches,MS License,License,48,Multi-Gig,,No,Controller,L2,210,512MB,8MB,100Gbps,2.5μs,"USB, Network",48 x Multi-Gig Ethernet,Performance,CORE,171.6,162.2875507150948,125.4990669604902,1 Year,NBD,x86 1.0GHz,0 to 40°C,-40 to 70°C,5% to 95%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",17.37,30.91,4.76,3.81,In Stock,Active,ICW-ONLY,12,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki Essentials License for C9200L 48-Port, 1 year",,License,,,,,,,,,,,,
